geo_latitude,geo_longitude
+42.729839 -077.773919
+33.640302 -117.769442
+43.182729 -070.745759
+45.349548 -090.887173
+39.082266 -077.846661
+42.021536 -071.947077
+41.296984 -083.524683
+42.440996 -094.315601
+43.518636 -096.732266
+35.169237 -092.817379
+38.823460 -083.504048
+33.016928 -116.846046
+34.283839 -078.260664
+35.054355 -106.561576
+48.771938 -096.812921
+45.125153 -091.170922
+42.721456 -072.976204
+39.807970 -104.407918
+30.030902 -090.068022
+33.206807 -093.224021
+42.476609 -091.311248
+36.698964 -119.049219
+40.270654 -103.833813
+40.314531 -074.041654
+42.614852 -073.970812
+34.262834 -119.848555
+37.287992 -082.027408
+45.447390 -122.795294
+39.675739 -090.323925
+39.427786 -074.622112
+40.430902 -076.480732
+38.725325 -088.417422
+35.944760 -078.093002
+39.392622 -111.729316
+36.173720 -115.106470
+44.286983 -088.556406
+32.391170 -093.711612
+25.558428 -080.458168
+41.739098 -095.995770
+40.280531 -074.712018
+45.114530 -092.276235
+41.016566 -091.968210
+29.677893 -090.090100
+37.399777 -082.197771
+37.437747 -094.683265
+39.155706 -081.736307
+43.914196 -084.867626
+37.336041 -108.468364
+26.645895 -080.430269
+38.041293 -081.064784
+40.755570 -073.978877
+36.077432 -079.085469
+45.164263 -093.319278
+39.392752 -120.021212
+34.887628 -084.744577
+43.130459 -094.855389
+42.198674 -088.041875
+43.005895 -071.013202
+35.157958 -089.918514
+33.544622 -086.929208
+37.453467 -077.033714
+32.814728 -096.787725
+39.003401 -084.356980
+39.749457 -089.606017
+37.875400 -082.533718
+38.028269 -084.471505
+38.645901 -090.326365
+46.621697 -121.652807
+44.056047 -094.069828
+31.373062 -093.821948
+36.080707 -080.024400
+41.890561 -079.227866
+40.116846 -076.213075
+45.567085 -104.539066
+41.248925 -088.833337
+27.704046 -082.357420
+45.461092 -096.431538
+33.640302 -117.769442
+43.237044 -084.288736
+40.005999 -085.443410
+13.444257 +144.786297
+33.786594 -118.298662
+40.085382 -078.963508
+45.282945 -092.429816
+38.799956 -077.150177
+31.463270 -110.881900
+42.867146 -074.595636
+35.517456 -097.621769
+37.385257 -080.590627
+35.504250 -108.831686
+41.044324 -074.098093
+34.756885 -111.279927
+43.981294 -093.561426
+40.392595 -096.264780
+39.475277 -082.063319
+40.213154 -085.680698
+40.989115 -078.422403
+38.619545 -121.961532
+32.239196 -086.036354
+42.631530 -075.186593
+42.648328 -110.124616
+38.100081 -091.368908
+42.657866 -070.618057
+36.533445 -095.905906
+44.346935 -108.165824
+27.144031 -082.464468
+47.414133 -107.027417
+31.868475 -090.429426
+35.284018 -081.189693
+38.435014 -121.497276
+32.607556 -093.752560
+39.749457 -089.606017
+39.108680 -075.448023
+43.718294 -087.618716
+41.970474 -070.701357
+40.007937 -077.100231
+37.286410 -076.404783
+41.861751 -076.488418
+48.811061 -111.470386
+36.746375 -119.639658
+30.827965 -083.252192
+42.808127 -077.287611
+32.400038 -097.933708
+39.946739 -076.506639
+38.770741 -077.449443
+42.783180 -072.867891
+28.002553 -081.618640
+39.143979 -077.207617
+36.097094 -095.919870
+40.842247 -073.280935
+43.694809 -071.323953
+26.619627 -080.059063
+42.062204 -071.235774
+43.566116 -100.745912
+32.642448 -090.090683
+31.987167 -097.108113
+41.272248 -075.880146
+40.834767 -080.328009
+46.808449 -100.455560
+44.242189 -070.188508
+38.377411 -121.444429
+36.020490 -077.982782
+39.798287 -088.727157
+42.640179 -078.543738
+41.050764 -075.208269
+31.021859 -084.061389
+45.623370 -122.953316
+41.119008 -073.732996
+27.854588 -082.754528
+34.700472 -079.113936
+44.492318 -095.447604
+46.350195 -094.099983
+33.688373 -080.208109
+41.989646 -072.658135
+38.678448 -108.971863
+30.817866 -094.869052
+39.538568 -079.190791
+17.734211 -064.734694
+40.846740 -089.678884
+40.055419 -085.108514
+38.296818 -081.554655
+38.343176 -082.490494
+40.662211 -075.390270
+37.315263 -104.734610
+37.986428 -101.751732
+36.666988 -094.419201
+42.079415 -091.599215
+35.310584 -079.347244
+36.102858 -095.998172
+40.637852 -074.368244
+30.652120 -096.341012
+43.459855 -116.243984
+61.470966 -144.991027
+37.306360 -083.090441
+42.148975 -073.148610
+39.987910 -084.350107
+37.448044 -094.819212
+40.658825 -073.843820
+29.428432 -098.462096
+32.767268 -096.777626
+43.412792 -072.990632
+43.075152 -082.695467
+34.943627 -094.745782
+38.495072 -081.398422
+39.638000 -088.753670
+28.690114 -081.222547
+40.371492 -075.887797
+44.823782 -072.102019
+43.276341 -070.597752
+47.432251 -121.803388
+29.573293 -082.397904
+37.997128 -087.574963
+46.172907 -095.918542
+44.756363 -084.046449
+38.880811 -077.112950
+37.926178 -082.270292
+41.811682 -079.264322
+27.471256 -082.682262
+42.924578 -086.121901
+38.893311 -077.014647
